click_x,click_y,click_z,reaction_time,direction
-0.063,1.577,-251.954,0,1
-1.459,1.604,-251.309,1.2982900142669678,2
-0.189,1.311,-251.868,1.2982900142669678,1
-0.189,1.311,-251.868,1.2982900142669678,1
0.189,1.706,-251.969,0,1
1.459,1.736,-251.342,1.132446527481079,0
-1.33,2.012,-251.493,1.0412018299102783,2
1.075,1.915,-251.684,0.9647133350372314,0
0.694,1.944,-251.875,1.1151070594787598,0
0.442,1.828,-251.943,0,1
0.316,2.577,-251.889,0,1
0.0,1.404,-251.909,0,1
-0.063,1.47,-251.927,0,1
0.441,1.593,-251.908,0,1
0.252,1.663,-251.955,0,1
-0.157,1.827,-251.986,0,1
0.157,1.339,-251.88,0,1
-1.343,2.066,-251.481,0,2
0.236,1.083,-251.762,0,1
-1.263,1.997,-251.549,1.246553659439087,2
-1.343,1.746,-251.459,1.1383593082427979,2
-1.665,1.685,-251.061,1.0303761959075928,2
1.425,1.4,-251.269,1.1882903575897217,0
0.158,1.085,-251.772,4.023960113525391,1
-0.079,1.667,-251.97,5.4129040241241455,1
-1.423,1.815,-251.393,1.2226591110229492,2
-1.584,2.183,-251.208,1.0446422100067139,2
1.184,1.848,-251.605,1.258833408355713,0
0.0,1.505,-251.937,1.258833408355713,1
-0.315,1.335,-251.859,6.471330165863037,1
-0.473,1.33,-251.824,19.367393970489502,1
1.916,1.479,-250.241,1.2561025619506836,0
-1.504,1.638,-251.268,1.1982614994049072,2
-1.584,1.786,-251.203,0.9277033805847168,2
1.752,1.208,-250.551,1.2030911445617676,0
0.0,1.256,-251.857,1.2030911445617676,1
1.185,1.438,-251.509,1.28275465965271,0
-1.025,1.622,-251.674,1.3460030555725098,2
-0.315,1.664,-251.946,138.48093390464783,1
-1.104,1.936,-251.666,1.252573013305664,2
1.263,2.076,-251.548,0.9999949932098389,0
1.504,1.554,-251.24,1.0348031520843506,0
-0.079,1.256,-251.855,271.767245054245,1
-1.746,2.146,-250.965,0.9493861198425293,2
1.747,1.577,-250.877,1.05812668800354,0
-1.263,1.918,-251.548,1.189474105834961,2
0.157,1.504,-251.931,1.189474105834961,1
1.025,1.864,-251.712,1.0503320693969727,0
-1.665,2.166,-251.096,0.6887431144714355,2
1.264,1.676,-251.516,1.0038502216339111,0
-1.344,1.582,-251.42,1.198962926864624,2
1.078,1.304,-251.533,1.2875494956970215,0
1.419,1.25,-251.193,1.2148983478546143,0
1.28,1.704,-251.508,1.148104190826416,0
1.485,1.602,-251.279,1.0207319259643555,0
0.067,1.572,-251.952,1.0207319259643555,1
