click_x,click_y,click_z,reaction_time,direction
0.079,1.339,-251.885,0,1
-1.343,1.746,-251.459,1.2592685222625732,2
-1.184,2.163,-251.603,0.9100966453552246,2
-1.746,1.909,-250.97,1.0450363159179688,2
1.184,1.686,-251.581,1.1898558139801025,0
1.584,2.105,-251.217,0.9753978252410889,0
0.788,2.041,-251.838,1.2254931926727295,0
0.0,1.748,-251.984,1.2254931926727295,1
0.788,1.56,-251.785,1.2254931926727295,0
-1.584,2.105,-251.217,1.2254931926727295,2
-1.504,2.274,-251.29,1.2254931926727295,2
-1.665,2.243,-251.081,1.2254931926727295,2
1.584,1.867,-251.215,1.2254931926727295,0
1.584,2.183,-251.208,1.2254931926727295,0
1.343,1.987,-251.482,1.2254931926727295,0
-1.263,1.918,-251.548,1.2254931926727295,2
-1.503,1.802,-251.305,1.2254931926727295,2
-1.343,2.221,-251.465,1.2254931926727295,2
-1.503,1.962,-251.318,1.2254931926727295,2
0.788,1.962,-251.838,1.2254931926727295,0
1.504,1.554,-251.24,1.2254931926727295,0
1.343,1.827,-251.472,1.2254931926727295,0
1.343,1.827,-251.472,1.2254931926727295,0
1.184,1.848,-251.605,1.2254931926727295,0
1.344,1.665,-251.443,1.2254931926727295,0
0.157,1.667,-251.965,1.2254931926727295,1
0.157,1.586,-251.951,1.2254931926727295,1
1.584,1.947,-251.22,1.0852630138397217,0
-0.709,1.967,-251.87,1.4348864555358887,1
-1.423,1.895,-251.402,1.19032621383667,2
-0.63,2.05,-251.898,1.365177869796753,2
-0.709,1.967,-251.87,1.1700685024261475,2
-1.025,1.784,-251.703,1.0139329433441162,2
-1.423,1.734,-251.379,0.8901581764221191,2
-1.104,2.015,-251.666,0.9809019565582275,2
1.105,1.695,-251.639,1.0500707626342773,0
-0.552,1.326,-251.8,1.3499424457550049,2
-0.788,1.883,-251.835,1.3499424457550049,2
-1.105,2.553,-251.572,1.3499424457550049,2
-0.867,2.346,-251.77,1.3499424457550049,2
1.589,1.089,-250.804,1.3499424457550049,0
-1.505,1.47,-251.207,1.3499424457550049,2
1.427,1.137,-251.105,1.3499424457550049,0
-1.748,1.49,-250.826,1.3499424457550049,2
1.423,1.975,-251.404,1.3499424457550049,0
1.586,1.364,-251.04,1.3499424457550049,0
-1.263,1.997,-251.549,1.3499424457550049,2
1.264,1.676,-251.516,1.3499424457550049,0
-1.423,1.734,-251.379,1.3499424457550049,2
1.503,2.041,-251.319,1.3499424457550049,0
-0.788,1.803,-251.828,1.3499424457550049,2
-1.105,1.695,-251.639,1.3499424457550049,2
1.104,1.856,-251.661,1.3499424457550049,0
-0.946,1.791,-251.749,1.3499424457550049,2
-1.344,1.582,-251.42,1.3499424457550049,2
1.748,1.49,-250.826,1.3499424457550049,0
1.026,1.54,-251.654,1.3499424457550049,0
-0.867,1.471,-251.723,1.3499424457550049,2
0.946,1.791,-251.749,1.3499424457550049,0
-1.265,1.427,-251.439,1.3499424457550049,2
1.584,1.621,-251.161,1.3499424457550049,0
-1.424,1.485,-251.307,1.3499424457550049,2
1.584,1.621,-251.161,1.3499424457550049,0
-0.946,1.791,-251.749,1.3499424457550049,2
1.828,1.718,-250.761,1.3499424457550049,0
-1.343,1.746,-251.459,1.3499424457550049,2
-1.666,1.516,-250.993,1.3499424457550049,2
-1.746,1.662,-250.912,1.3499424457550049,2
-0.472,2.057,-251.942,1.3499424457550049,2
0.0,1.086,-251.779,1.3499424457550049,1
1.669,1.248,-250.807,1.3499424457550049,0
1.911,1.848,-250.569,1.3499424457550049,0
1.746,1.909,-250.97,1.3499424457550049,0
1.829,1.632,-250.72,1.3499424457550049,0
1.344,1.665,-251.443,1.3499424457550049,0
-0.157,1.504,-251.931,0,1
-0.867,1.957,-251.802,0,2
-1.423,1.895,-251.402,0,2
1.344,1.415,-251.36,0,0
-1.185,1.522,-251.539,0,2
-1.425,1.4,-251.269,0,2
-1.104,1.936,-251.666,0,2
1.503,1.882,-251.314,0,0
-1.584,1.867,-251.214,0,2
1.186,1.268,-251.434,0,0
1.264,1.676,-251.516,0,0
1.584,2.105,-251.217,0,0
0.946,2.108,-251.759,0,0
1.424,1.652,-251.361,0,0
1.026,1.373,-251.598,0,0
-0.867,1.554,-251.747,0,2
0.709,1.647,-251.836,0,0
-0.315,1.664,-251.946,0,2
-0.63,1.322,-251.772,0,2
-1.186,1.268,-251.434,0,2
1.746,1.746,-250.942,0.9566347599029541,0
1.828,1.718,-250.761,1.0801942348480225,0
1.828,1.718,-250.761,1.2275426387786865,0
1.746,1.746,-250.942,1.2275426387786865,0
1.746,1.746,-250.942,1.2275426387786865,0
1.75,1.307,-250.675,1.2275426387786865,0
1.665,1.685,-251.061,0.891028881072998,0
-1.423,1.815,-251.393,1.0641882419586182,2
-1.913,1.584,-250.405,1.011392593383789,2
1.746,1.662,-250.912,0.9033248424530029,0
-1.264,1.757,-251.53,1.0014598369598389,2
-1.424,2.514,-251.306,0.787283182144165,2
-1.746,1.909,-250.97,0.9574527740478516,2
1.503,1.802,-251.305,0.9466478824615479,0
-0.472,1.577,-251.897,0.9466478824615479,1
-0.157,2.22,-251.981,0.9466478824615479,1
-0.946,1.95,-251.761,1.0763747692108154,2
-1.025,2.256,-251.698,0,2
-1.503,1.962,-251.318,0,2
1.343,1.907,-251.479,0,0
-1.104,2.015,-251.666,0,2
1.423,1.895,-251.401,0,0
-1.747,1.577,-250.877,0,2
-1.424,1.652,-251.361,0,2
1.184,1.767,-251.594,0,0
0.269,1.358,-251.874,0,1
-0.336,1.285,-251.837,0,1
-0.74,1.407,-251.761,1.5709028244018555,1
1.555,1.369,-251.088,1.1970734596252441,0
-1.348,2.037,-251.477,1.1970734596252441,2
-0.941,2.08,-251.762,1.1970734596252441,2
-0.134,1.914,-251.994,1.2936289310455322,1
-0.739,1.618,-251.818,1.2936289310455322,2
-1.144,1.79,-251.626,1.2936289310455322,2
-0.604,2.101,-251.904,1.2936289310455322,2
0.403,1.565,-251.909,1.2936289310455322,1
-0.807,1.683,-251.803,1.265892744064331,2
-0.941,2.213,-251.751,13.746867179870605,2
-0.941,2.213,-251.751,13.746867179870605,2
-0.941,2.213,-251.751,13.746867179870605,2
-0.941,2.213,-251.751,13.746867179870605,2
-0.941,2.213,-251.751,13.746867179870605,2
-0.739,1.687,-251.832,1.2218716144561768,2
-1.485,2.016,-251.34,1.1268525123596191,2
0.336,1.774,-251.959,1.0826725959777832,1
0.942,1.319,-251.626,1.4789254665374756,1
0.134,1.778,-251.983,1.4789254665374756,1
-1.35,1.338,-251.318,1.3032763004302979,2
-1.348,1.695,-251.445,1.1610350608825684,2
1.417,1.684,-251.376,1.2233154773712158,0
-1.764,1.377,-250.705,1.2088074684143066,2
-0.74,1.264,-251.706,1.5641613006591797,1
0.537,1.629,-251.89,1.5641613006591797,1
0.942,1.462,-251.679,1.2419030666351318,0
-1.623,1.499,-251.055,1.2419030666351318,2
-1.623,1.499,-251.055,1.2419030666351318,2
0.0,1.361,-251.894,1.2419030666351318,1
-1.212,1.782,-251.575,1.2419030666351318,2
0.269,1.287,-251.849,1.2419030666351318,1
-0.942,1.462,-251.679,1.2419030666351318,2
-1.691,2.042,-251.066,1.2419030666351318,2
-1.553,2.004,-251.26,1.2419030666351318,2
-1.553,2.004,-251.26,1.2419030666351318,2
-1.485,1.812,-251.327,1.2419030666351318,2
-1.348,2.037,-251.477,1.2419030666351318,2
-1.901,1.975,-250.621,1.2419030666351318,2
-1.901,1.975,-250.621,1.2419030666351318,2
-1.901,1.975,-250.621,1.2419030666351318,2
-1.761,1.819,-250.931,1.2419030666351318,2
0.063,1.707,-251.977,1722336298.3340428,1
0.063,1.707,-251.977,1722336298.2871263,1
-0.315,2.333,-251.946,1722336298.3340428,1
-0.315,2.333,-251.946,1722336298.2871263,1
-0.189,1.576,-251.945,1722336298.3340428,1
-0.189,1.576,-251.945,1722336298.2871263,1
-0.315,1.703,-251.952,1722336298.3340428,1
-0.315,1.703,-251.952,1722336298.2871263,1
-0.189,2.087,-251.989,1722336298.3340428,1
-0.189,2.087,-251.989,1722336298.2871263,1
-0.063,1.178,-251.821,1722336298.3340428,1
-0.063,1.178,-251.821,1722336298.2871263,1
